alpha,l1_ratio,id,generation,parents,score
4.106561802729221,0.31993604268298353,1,0,,0.8441143025785129
8.037523590463186,0.793727642537958,2,0,,0.6355419317737655
0.8343940084818975,0.4869383339437205,3,0,,0.9055171174192151
2.6989928683733546,0.2670479987248162,4,0,,0.8685376525686439
1.7131621759355589,0.527463247289928,5,0,,0.8746408239144242
1.5344482403999353,0.527463247289928,6,1,"5,3",0.8769187648709977
1.7131621759355589,0.4869383339437205,7,1,"5,3",0.8751755243906111
2.5067578925244547,0.4869383339437205,8,1,"5,3",0.8635363451191351
0.8343940084818975,0.527463247289928,9,2,"3,6",0.904150892703892
1.5344482403999353,0.4869383339437205,10,2,"6,3",0.8776881776737042
0.8343940084818975,0.5456637819781582,11,2,"3,6",0.9034934702902994
0.013618689518701488,0.5101805267667626,12,3,"9,3",0.9973620161535498
0.8343940084818975,0.4619342580633357,13,3,"3,9",0.9062749109754273
0.8343940084818975,0.4869383339437205,14,3,"9,3",0.9055171174192151
0.01,0.5101805267667626,15,4,"13,12",0.9980427036295045
0.01,0.4619342580633357,16,4,"13,12",0.9979280551721441
0.5221654430688561,0.46701628129444417,17,4,"13,12",0.9288646232681654
0.01,0.4619342580633357,18,5,"15,16",0.9979280551721441
0.3102976668706317,0.4643424983319328,19,5,"16,15",0.9534090177478404
0.01,0.49694566346067376,20,5,"16,15",0.9980111203220154
