alpha,l1_ratio,id,generation,parents,score
5.2473781005934255,0.27756935260182825,1,0,,0.3705664502397019
0.8018118510555912,0.38901777465820886,2,0,,0.5558793800173776
9.51572953564013,0.39462139726993567,3,0,,0.3447310175104189
2.0594786054264085,0.45611055258189825,4,0,,0.47742276581812715
3.2431192714579073,0.2355447268984387,5,0,,0.40328076332882334
0.8018118510555912,0.39653001773788454,6,1,"2,4",0.5569510715106756
2.0594786054264085,0.4962019926783832,7,1,"4,2",0.48497590907557797
1.9039269360155229,0.48908425492635715,8,1,"4,2",0.49133572805775094
1.0106764777501693,0.39243585840276396,9,2,"6,2",0.53559551000703
0.900411850446595,0.438404951561672,10,2,"6,2",0.5531140987179038
0.01,0.39653001773788454,11,2,"2,6",0.6685475663940925
0.01,0.39653001773788454,12,3,"6,11",0.6685475663940925
1.7765522166427088,0.37031318034613125,13,3,"6,11",0.47755131383314897
0.04576437590838837,0.39653001773788454,14,3,"6,11",0.6662867889744022
0.01,0.39653001773788454,15,4,"12,11",0.6685475663940925
0.05222490048510947,0.39653001773788454,16,4,"12,11",0.6655861601655022
0.26906235587265753,0.362041068233383,17,4,"11,12",0.6274904764778744
0.01,0.3413146378991292,18,5,"11,12",0.6685380120164338
0.845278613946677,0.39653001773788454,19,5,"11,12",0.5523475472124533
0.01,0.39653001773788454,20,5,"12,11",0.6685475663940925
